World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
226,University of Leicester,United Kingdom,19,383+,616+,240+,260,136,183,159,347,45.25
Top 0.9%,,,,,,,,,,,,
227,University of Gothenburg,Sweden,6,279,228,119,186,175,167,199,913+,45.24
Top 0.9%,,,,,,,,,,,,
228,London School of Hygiene & Tropical Medicine,United Kingdom,20,383+,616+,201,251,145,183,154,663,45.24
Top 0.9%,,,,,,,,,,,,
229,Autonomous University of Barcelona,Spain,2,383+,616+,240+,136,212,278,197,280,45.24
Top 0.9%,,,,,,,,,,,,
230,Complutense University of Madrid,Spain,3,89,57,237,211,326,357,356,265,45.23
Top 0.9%,,,,,,,,,,,,
231,Chinese University of Hong Kong,Hong Kong,2,127,505,119,154,301,213,219,178,45.2
Top 0.9%,,,,,,,,,,,,
232,Brandeis University,USA,91,38,301,57,606,217,357,348,255,45.18
Top 0.9%,,,,,,,,,,,,
233,Karlsruhe Institute of Technology,Germany,18,373,191,193,218,327,213,234,114,45.15
Top 0.9%,,,,,,,,,,,,
234,University of Auckland,New Zealand,1,260,272,240+,237,238,119,243,120,45.12
Top 0.9%,,,,,,,,,,,,
235,George Washington University,USA,92,214,74,240+,298,230,319,260,410,45.12
Top 0.9%,,,,,,,,,,,,
236,Julius-Maximilian's University of Würzburg,Germany,19,124,398,170,216,187,278,190,382,45.11
Top 0.9%,,,,,,,,,,,,
