World Rank,Institution,Location,National Rank,Quality of Education,Alumni Employment,Quality of Faculty,Publications,Influence,Citations,Broad Impact,Patents,Score
939,Babe?-Bolyai University,Romania,1,383+,616+,240+,869,879,709,887,913+,42.54
Top 3.4%,,,,,,,,,,,,
940,University of Thessaly,Greece,7,383+,616+,240+,867,978,709,887,913+,42.54
Top 3.4%,,,,,,,,,,,,
941,Beijing University of Technology,China,83,383+,616+,240+,714,962,853+,920,541,42.54
Top 3.4%,,,,,,,,,,,,
942,University of Lethbridge,Canada,32,383+,616+,240+,971,777,576,887,862,42.54
Top 3.4%,,,,,,,,,,,,
943,Ain Shams University,Egypt,2,383+,616+,240+,853,776,482,903,913+,42.54
Top 3.4%,,,,,,,,,,,,
944,Nicolaus Copernicus University in Toru?,Poland,6,383+,616+,240+,920,743,853+,887,807,42.54
Top 3.4%,,,,,,,,,,,,
945,Pukyong National University,South Korea,34,383+,616+,240+,973,967,853+,957,355,42.54
Top 3.5%,,,,,,,,,,,,
946,University of Jinan,China,84,383+,549,240+,805,934,853+,903,913+,42.54
Top 3.5%,,,,,,,,,,,,
947,Northwest A&F University,China,85,383+,616+,240+,549,761,853+,947,887,42.54
Top 3.5%,,,,,,,,,,,,
948,University of Western Brittany,France,43,383+,616+,240+,873,704,853+,903,638,42.54
Top 3.5%,,,,,,,,,,,,
949,Shiraz University,Iran,7,383+,616+,240+,867,967,576,903,913+,42.53
Top 3.5%,,,,,,,,,,,,
950,Hallym University,South Korea,35,383+,616+,240+,852,932,853+,903,686,42.53
Top 3.5%,,,,,,,,,,,,
951,University of Johannesburg,South Africa,6,383+,516,240+,920,675,482,920,766,42.53
Top 3.5%,,,,,,,,,,,,
952,National Taiwan Normal University,Taiwan,16,383+,532,240+,740,911,853+,920,913+,42.53
Top 3.5%,,,,,,,,,,,,
953,Chongqing Medical University,China,86,383+,616+,240+,845,868,853+,903,862,42.53
Top 3.5%,,,,,,,,,,,,
954,Adam Mickiewicz University in Pozna?,Poland,7,161,616+,240+,701,790,853+,981,686,42.53
Top 3.5%,,,,,,,,,,,,
955,"Queens College, City University of New York",USA,223,345,377,240+,976,753,853+,957,713,42.53
Top 3.5%,,,,,,,,,,,,
956,Charles Darwin University,Australia,27,383+,616+,240+,953,725,709,903,913+,42.53
Top 3.5%,,,,,,,,,,,,
957,United Arab Emirates University,United Arab Emirates,1,383+,570,240+,977,884,853+,920,556,42.53
Top 3.5%,,,,,,,,,,,,
958,National Taiwan Ocean University,Taiwan,17,383+,470,240+,839,927,853+,936,913+,42.53
Top 3.5%,,,,,,,,,,,,
959,University of Almería,Spain,37,383+,616+,240+,965,980,576,920,673,42.52
Top 3.5%,,,,,,,,,,,,
960,Federal University of São Carlos,Brazil,12,383+,616+,240+,758,912,853+,936,638,42.52
Top 3.5%,,,,,,,,,,,,
961,National University of Colombia,Colombia,2,383+,349,240+,863,665,709,981,754,42.52
Top 3.5%,,,,,,,,,,,,
962,Fluminense Federal University,Brazil,13,383+,348,240+,824,913,853+,981,913+,42.52
Top 3.5%,,,,,,,,,,,,
963,Harbin Medical University,China,87,383+,616+,240+,721,869,709,936,913+,42.52
Top 3.5%,,,,,,,,,,,,
964,Carlos III University of Madrid,Spain,38,383+,616+,240+,667,955,576,967,456,42.52
Top 3.5%,,,,,,,,,,,,
965,Qingdao University,China,88,383+,616+,240+,903,980,709,920,862,42.52
Top 3.5%,,,,,,,,,,,,
966,Oakland University,USA,224,383+,616+,240+,899,857,853+,920,862,42.52
Top 3.5%,,,,,,,,,,,,
967,University of Pau and Pays de l'Adour,France,44,383+,616+,240+,970,944,853+,920,713,42.52
Top 3.5%,,,,,,,,,,,,
968,Shimane University,Japan,70,383+,616+,240+,983,799,709,920,766,42.52
Top 3.5%,,,,,,,,,,,,
969,Iran University of Science and Technology,Iran,8,383+,616+,240+,754,995+,482,947,913+,42.52
Top 3.5%,,,,,,,,,,,,
970,Chosun University,South Korea,36,383+,616+,240+,938,973,853+,996,266,42.52
Top 3.5%,,,,,,,,,,,,
971,National University of Córdoba,Argentina,3,383+,616+,240+,738,759,709,947,913+,42.51
Top 3.5%,,,,,,,,,,,,
972,University of Basilicata,Italy,47,383+,616+,240+,961,882,576,936,842,42.51
Top 3.6%,,,,,,,,,,,,
973,University of Brasília,Brazil,14,383+,442,240+,787,657,709,967,862,42.51
Top 3.6%,,,,,,,,,,,,
974,Dokuz Eylül University,Turkey,10,383+,616+,240+,958,943,709,936,842,42.51
Top 3.6%,,,,,,,,,,,,
975,University of Bucharest,Romania,2,253,616+,240+,879,795,576,957,913+,42.51
Top 3.6%,,,,,,,,,,,,
976,King Juan Carlos University,Spain,39,383+,616+,240+,864,893,576,947,741,42.51
Top 3.6%,,,,,,,,,,,,
977,South China Agricultural University,China,89,383+,601,240+,802,835,853+,947,842,42.51
Top 3.6%,,,,,,,,,,,,
978,University of A Coruña,Spain,40,383+,616+,240+,818,921,853+,947,726,42.51
Top 3.6%,,,,,,,,,,,,
979,Shanxi University,China,90,383+,585,240+,844,913,709,947,913+,42.51
Top 3.6%,,,,,,,,,,,,
980,Alexandria University,Egypt,3,256,614,240+,906,895,853+,957,913+,42.5
Top 3.6%,,,,,,,,,,,,
981,Kyoto Institute of Technology,Japan,71,383+,616+,240+,999,926,853+,992,333,42.5
Top 3.6%,,,,,,,,,,,,
982,Federal University of Bahia,Brazil,15,383+,599,240+,931,798,853+,947,842,42.5
Top 3.6%,,,,,,,,,,,,
983,Mansoura University,Egypt,4,383+,616+,240+,908,923,853+,947,913+,42.5
Top 3.6%,,,,,,,,,,,,
984,Henan Normal University,China,91,383+,616+,240+,929,995+,853+,947,913+,42.5
Top 3.6%,,,,,,,,,,,,
985,Southwest Jiaotong University,China,92,383+,359,240+,869,989,853+,992,807,42.5
Top 3.6%,,,,,,,,,,,,
986,Zhejiang Normal University,China,93,383+,616+,240+,849,955,709,957,913+,42.5
Top 3.6%,,,,,,,,,,,,
987,Feng Chia University,Taiwan,18,383+,379,240+,915,995+,853+,989,862,42.5
Top 3.6%,,,,,,,,,,,,
988,University of Limerick,Ireland,8,383+,484,240+,858,862,709,989,450,42.49
Top 3.6%,,,,,,,,,,,,
989,Yuan Ze University,Taiwan,19,383+,616+,240+,937,989,853+,957,913+,42.49
Top 3.6%,,,,,,,,,,,,
990,Hunan Normal University,China,94,383+,616+,240+,941,909,853+,957,913+,42.49
Top 3.6%,,,,,,,,,,,,
991,University of Camerino,Italy,48,383+,616+,240+,962,851,853+,957,794,42.49
Top 3.6%,,,,,,,,,,,,
992,Federal University of Pernambuco,Brazil,16,383+,598,240+,774,841,853+,974,592,42.49
Top 3.6%,,,,,,,,,,,,
993,Federal University of Santa Maria,Brazil,17,383+,405,240+,910,980,853+,989,913+,42.49
Top 3.6%,,,,,,,,,,,,
994,Anhui University,China,95,383+,453,240+,924,938,853+,974,913+,42.49
Top 3.6%,,,,,,,,,,,,
995,University of Texas at El Paso,USA,225,383+,500,240+,885,877,853+,974,649,42.49
Top 3.6%,,,,,,,,,,,,
996,Nanchang University,China,96,383+,538,240+,747,961,853+,974,842,42.49
Top 3.6%,,,,,,,,,,,,
997,China Pharmaceutical University,China,97,383+,578,240+,761,973,853+,974,638,42.49
Top 3.6%,,,,,,,,,,,,
998,Federal University of Ceará,Brazil,18,383+,604,240+,842,792,853+,967,887,42.49
Top 3.6%,,,,,,,,,,,,
999,Chung Shan Medical University,Taiwan,20,383+,616+,240+,730,933,709,974,913+,42.49
Top 3.6%,,,,,,,,,,,,
1000,University of Macau,Macau,1,383+,333,240+,892,989,853+,998,862,42.49
Top 3.7%,,,,,,,,,,,,
